Cat_Name,Device,Group,Day,Order,Scale,Preference,Pref2,FIV
Coltrane,Ball,3,6,3,2,NA,,Neg
Coltrane,Human,3,1,3,2,NA,,Neg
Coltrane,Human,3,2,2,2,NA,,Neg
Coltrane,Human,3,3,2,2,NA,,Neg
Coltrane,Human,3,4,2,2,NA,,Neg
Coltrane,Human,3,5,3,1,NA,,Neg
Coltrane,Human,3,6,4,0,NA,,Neg
Coltrane,Scratching,3,1,5,,Box,2. Box,Neg
Coltrane,Scratching,3,2,5,,Box,2. Box,Neg
Coltrane,Scratching,3,3,5,,Box,2. Box,Neg
Coltrane,Scratching,3,4,5,,None,4. None,Neg
Coltrane,Scratching,3,5,5,,None,4. None,Neg
Coltrane,Scratching,3,6,5,,Circle,1. Circle,Neg
Dodge,Brush,1,1,1,,Both,3. Both,Pos
Dodge,Brush,1,2,1,,Hair,1. Hairbrush,Pos
Dodge,Brush,1,3,1,,Both,3. Both,Pos
Dodge,Brush,1,4,1,,Hair,1. Hairbrush,Pos
Dodge,Brush,1,5,1,,Hair,1. Hairbrush,Pos
Dodge,Brush,1,6,1,,None,4. None,Pos
Dodge,Laser,1,1,2,2,NA,,Pos
Dodge,Laser,1,2,2,2,NA,,Pos
Dodge,Laser,1,3,4,2,NA,,Pos
Dodge,Laser,1,4,4,2,NA,,Pos
Dodge,Laser,1,5,3,2,NA,,Pos
Dodge,Laser,1,6,3,2,NA,,Pos
Dodge,Ball,1,1,3,1,NA,,Pos
Dodge,Ball,1,2,3,1,NA,,Pos
Dodge,Ball,1,3,2,2,NA,,Pos
Dodge,Ball,1,4,2,1,NA,,Pos
Dodge,Ball,1,5,4,1,NA,,Pos
Dodge,Ball,1,6,4,0,NA,,Pos
Dodge,Human,1,1,4,1,NA,,Pos
Dodge,Human,1,2,4,0,NA,,Pos
Dodge,Human,1,3,3,1,NA,,Pos
Dodge,Human,1,4,3,0,NA,,Pos
Dodge,Human,1,5,2,1,NA,,Pos
Dodge,Human,1,6,2,1,NA,,Pos
Dodge,Scratching,1,1,5,,Both,3. Both,Pos
Dodge,Scratching,1,2,5,,Box,2. Box,Pos
Dodge,Scratching,1,3,5,,Box,2. Box,Pos
Dodge,Scratching,1,4,5,,Both,3. Both,Pos
Dodge,Scratching,1,5,5,,Box,2. Box,Pos
Dodge,Scratching,1,6,5,,Both,3. Both,Pos
Dorsey,Brush,4,1,1,,Hair,1. Hairbrush,Pos
Dorsey,Brush,4,2,1,,Glove,2. Glovebrush,Pos
Dorsey,Brush,4,3,1,,Glove,2. Glovebrush,Pos
Dorsey,Brush,4,4,1,,Glove,2. Glovebrush,Pos
Dorsey,Brush,4,5,1,,Glove,2. Glovebrush,Pos
Dorsey,Brush,4,6,1,,Glove,2. Glovebrush,Pos
Dorsey,Laser,4,1,2,2,NA,,Pos
Dorsey,Laser,4,2,2,2,NA,,Pos
Dorsey,Laser,4,3,4,2,NA,,Pos
Dorsey,Laser,4,4,4,2,NA,,Pos
Dorsey,Laser,4,5,3,2,NA,,Pos
Dorsey,Laser,4,6,3,2,NA,,Pos
Dorsey,Ball,4,1,3,1,NA,,Pos
Dorsey,Ball,4,2,3,1,NA,,Pos
Dorsey,Ball,4,3,2,1,NA,,Pos
Dorsey,Ball,4,4,2,0,NA,,Pos
Dorsey,Ball,4,5,4,0,NA,,Pos
Dorsey,Ball,4,6,4,0,NA,,Pos
Dorsey,Human,4,1,4,0,NA,,Pos
Dorsey,Human,4,2,4,1,NA,,Pos
Dorsey,Human,4,3,3,2,NA,,Pos
Dorsey,Human,4,4,3,1,NA,,Pos
Dorsey,Human,4,5,2,0,NA,,Pos
Dorsey,Human,4,6,2,2,NA,,Pos
Dorsey,Scratching,4,1,5,,Box,2. Box,Pos
Dorsey,Scratching,4,2,5,,Box,2. Box,Pos
Dorsey,Scratching,4,3,5,,Box,2. Box,Pos
Dorsey,Scratching,4,4,5,,None,4. None,Pos
Dorsey,Scratching,4,5,5,,Box,2. Box,Pos
Dorsey,Scratching,4,6,5,,Box,2. Box,Pos
Doucet,Brush,4,1,1,,None,4. None,Neg
Doucet,Brush,4,2,1,,None,4. None,Neg
Doucet,Brush,4,3,1,,None,4. None,Neg
Doucet,Brush,4,4,1,,None,4. None,Neg
Doucet,Brush,4,5,1,,None,4. None,Neg
Doucet,Brush,4,6,1,,None,4. None,Neg
Doucet,Laser,4,1,2,2,NA,,Neg
Doucet,Laser,4,2,2,2,NA,,Neg
Doucet,Laser,4,3,4,2,NA,,Neg
Doucet,Laser,4,4,4,2,NA,,Neg
Doucet,Laser,4,5,3,2,NA,,Neg
Doucet,Laser,4,6,3,2,NA,,Neg
Doucet,Ball,4,1,3,0,NA,,Neg
Doucet,Ball,4,2,3,0,NA,,Neg
Doucet,Ball,4,3,2,0,NA,,Neg
Doucet,Ball,4,4,2,0,NA,,Neg
Doucet,Ball,4,5,4,0,NA,,Neg
Doucet,Ball,4,6,4,0,NA,,Neg
Doucet,Human,4,1,4,0,NA,,Neg
Doucet,Human,4,2,4,0,NA,,Neg
Doucet,Human,4,3,3,1,NA,,Neg
Doucet,Human,4,4,3,0,NA,,Neg
Doucet,Human,4,5,2,0,NA,,Neg
Doucet,Human,4,6,2,0,NA,,Neg
Doucet,Scratching,4,1,5,,None,4. None,Neg
Doucet,Scratching,4,2,5,,None,4. None,Neg
Doucet,Scratching,4,3,5,,None,4. None,Neg
Doucet,Scratching,4,4,5,,None,4. None,Neg
Doucet,Scratching,4,5,5,,None,4. None,Neg
Doucet,Scratching,4,6,5,,None,4. None,Neg
Ford,Brush,1,1,1,,None,4. None,Pos
Ford,Brush,1,2,1,,None,4. None,Pos
Ford,Brush,1,3,1,,None,4. None,Pos
Ford,Brush,1,4,1,,Glove,2. Glovebrush,Pos
Ford,Brush,1,5,1,,Glove,2. Glovebrush,Pos
Ford,Brush,1,6,1,,Glove,2. Glovebrush,Pos
Ford,Laser,1,1,2,2,NA,,Pos
Ford,Laser,1,2,2,2,NA,,Pos
Ford,Laser,1,3,4,2,NA,,Pos
Ford,Laser,1,4,4,2,NA,,Pos
Ford,Laser,1,5,3,2,NA,,Pos
Ford,Laser,1,6,3,2,NA,,Pos
Ford,Ball,1,1,3,0,NA,,Pos
Ford,Ball,1,2,3,0,NA,,Pos
Ford,Ball,1,3,2,1,NA,,Pos
Ford,Ball,1,4,2,2,NA,,Pos
Ford,Ball,1,5,4,0,NA,,Pos
Ford,Ball,1,6,4,1,NA,,Pos
Ford,Human,1,1,4,0,NA,,Pos
Ford,Human,1,2,4,0,NA,,Pos
Ford,Human,1,3,3,0,NA,,Pos
Ford,Human,1,4,3,1,NA,,Pos
Ford,Human,1,5,2,2,NA,,Pos
Ford,Human,1,6,2,1,NA,,Pos
Ford,Scratching,1,1,5,,Circle,1. Circle,Pos
Ford,Scratching,1,2,5,,None,4. None,Pos
Ford,Scratching,1,3,5,,None,4. None,Pos
Ford,Scratching,1,4,5,,None,4. None,Pos
Ford,Scratching,1,5,5,,None,4. None,Pos
Ford,Scratching,1,6,5,,None,4. None,Pos
Gillespie,Brush,3,1,1,,Both,3. Both,Pos
Gillespie,Brush,3,2,1,,Glove,2. Glovebrush,Pos
Gillespie,Brush,3,3,1,,Both,3. Both,Pos
Gillespie,Brush,3,4,1,,Both,3. Both,Pos
Gillespie,Brush,3,5,1,,Both,3. Both,Pos
Gillespie,Brush,3,6,1,,Both,3. Both,Pos
Gillespie,Laser,3,1,4,2,NA,,Pos
Gillespie,Laser,3,2,3,2,NA,,Pos
Gillespie,Laser,3,3,3,2,NA,,Pos
Gillespie,Laser,3,4,3,2,NA,,Pos
Gillespie,Laser,3,5,4,2,NA,,Pos
Gillespie,Laser,3,6,2,2,NA,,Pos
Gillespie,Ball,3,1,2,1,NA,,Pos
Gillespie,Ball,3,2,4,1,NA,,Pos
Gillespie,Ball,3,3,4,1,NA,,Pos
Gillespie,Ball,3,4,4,0,NA,,Pos
Gillespie,Ball,3,5,2,0,NA,,Pos
Gillespie,Ball,3,6,3,0,NA,,Pos
Gillespie,Human,3,1,3,0,NA,,Pos
Gillespie,Human,3,2,2,0,NA,,Pos
Gillespie,Human,3,3,2,1,NA,,Pos
Gillespie,Human,3,4,2,0,NA,,Pos
Gillespie,Human,3,5,3,0,NA,,Pos
Gillespie,Human,3,6,4,0,NA,,Pos
Gillespie,Scratching,3,1,5,,Both,3. Both,Pos
Gillespie,Scratching,3,2,5,,Box,2. Box,Pos
Gillespie,Scratching,3,3,5,,Both,3. Both,Pos
Gillespie,Scratching,3,4,5,,Box,2. Box,Pos
Gillespie,Scratching,3,5,5,,None,4. None,Pos
Gillespie,Scratching,3,6,5,,Box,2. Box,Pos
Hester,Brush,4,1,1,,Glove,2. Glovebrush,Pos
Hester,Brush,4,2,1,,Glove,2. Glovebrush,Pos
Hester,Brush,4,3,1,,Both,3. Both,Pos
Hester,Brush,4,4,1,,Glove,2. Glovebrush,Pos
Hester,Brush,4,5,1,,Glove,2. Glovebrush,Pos
Hester,Brush,4,6,1,,Glove,2. Glovebrush,Pos
Hester,Laser,4,1,2,0,NA,,Pos
Hester,Laser,4,2,2,1,NA,,Pos
Hester,Laser,4,3,4,0,NA,,Pos
Hester,Laser,4,4,4,0,NA,,Pos
Hester,Laser,4,5,3,0,NA,,Pos
Hester,Laser,4,6,3,0,NA,,Pos
Hester,Ball,4,1,3,1,NA,,Pos
Hester,Ball,4,2,3,2,NA,,Pos
Hester,Ball,4,3,2,2,NA,,Pos
Hester,Ball,4,4,2,2,NA,,Pos
Hester,Ball,4,5,4,2,NA,,Pos
Hester,Ball,4,6,4,2,NA,,Pos
Hester,Human,4,1,4,2,NA,,Pos
Hester,Human,4,2,4,2,NA,,Pos
Hester,Human,4,3,3,2,NA,,Pos
Hester,Human,4,4,3,0,NA,,Pos
Hester,Human,4,5,2,0,NA,,Pos
Hester,Human,4,6,2,1,NA,,Pos
Hester,Scratching,4,1,5,,Box,2. Box,Pos
Hester,Scratching,4,2,5,,Box,2. Box,Pos
Hester,Scratching,4,3,5,,Box,2. Box,Pos
Hester,Scratching,4,4,5,,None,4. None,Pos
Hester,Scratching,4,5,5,,None,4. None,Pos
Hester,Scratching,4,6,5,,Box,2. Box,Pos
Holleman,Brush,3,1,1,,Both,3. Both,Pos
Holleman,Brush,3,2,1,,Both,3. Both,Pos
Holleman,Brush,3,3,1,,Hair,1. Hairbrush,Pos
Holleman,Brush,3,4,1,,Glove,2. Glovebrush,Pos
Holleman,Brush,3,5,1,,Hair,1. Hairbrush,Pos
Holleman,Brush,3,6,1,,Both,3. Both,Pos
Holleman,Laser,3,1,4,2,NA,,Pos
Holleman,Laser,3,2,3,2,NA,,Pos
Holleman,Laser,3,3,3,2,NA,,Pos
Holleman,Laser,3,4,3,2,NA,,Pos
Holleman,Laser,3,5,4,2,NA,,Pos
Holleman,Laser,3,6,2,2,NA,,Pos
Holleman,Ball,3,1,2,0,NA,,Pos
Holleman,Ball,3,2,4,0,NA,,Pos
Holleman,Ball,3,3,4,0,NA,,Pos
Holleman,Ball,3,4,4,0,NA,,Pos
Holleman,Ball,3,5,2,0,NA,,Pos
Holleman,Ball,3,6,3,0,NA,,Pos
Holleman,Human,3,1,3,0,NA,,Pos
Holleman,Human,3,2,2,1,NA,,Pos
Holleman,Human,3,3,2,0,NA,,Pos
Holleman,Human,3,4,2,0,NA,,Pos
Holleman,Human,3,5,3,1,NA,,Pos
Holleman,Human,3,6,4,0,NA,,Pos
Holleman,Scratching,3,1,5,,Box,2. Box,Pos
Holleman,Scratching,3,2,5,,Box,2. Box,Pos
Holleman,Scratching,3,3,5,,Box,2. Box,Pos
Holleman,Scratching,3,4,5,,Box,2. Box,Pos
Holleman,Scratching,3,5,5,,Box,2. Box,Pos
Holleman,Scratching,3,6,5,,None,4. None,Pos
Holliday,Brush,4,1,1,,None,4. None,Pos
Holliday,Brush,4,2,1,,None,4. None,Pos
Holliday,Brush,4,3,1,,None,4. None,Pos
Holliday,Brush,4,4,1,,None,4. None,Pos
Holliday,Brush,4,5,1,,Glove,2. Glovebrush,Pos
Holliday,Brush,4,6,1,,Hair,1. Hairbrush,Pos
Holliday,Laser,4,1,2,1,NA,,Pos
Holliday,Laser,4,2,2,2,NA,,Pos
Holliday,Laser,4,3,4,2,NA,,Pos
Holliday,Laser,4,4,4,2,NA,,Pos
Holliday,Laser,4,5,3,2,NA,,Pos
Holliday,Laser,4,6,3,1,NA,,Pos
Holliday,Ball,4,1,3,0,NA,,Pos
Holliday,Ball,4,2,3,1,NA,,Pos
Holliday,Ball,4,3,2,2,NA,,Pos
Holliday,Ball,4,4,2,2,NA,,Pos
Holliday,Ball,4,5,4,2,NA,,Pos
Holliday,Ball,4,6,4,2,NA,,Pos
Holliday,Human,4,1,4,0,NA,,Pos
Holliday,Human,4,2,4,0,NA,,Pos
Holliday,Human,4,3,3,0,NA,,Pos
Holliday,Human,4,4,3,0,NA,,Pos
Holliday,Human,4,5,2,0,NA,,Pos
Holliday,Human,4,6,2,0,NA,,Pos
Holliday,Scratching,4,1,5,,Box,2. Box,Pos
Holliday,Scratching,4,2,5,,Box,2. Box,Pos
Holliday,Scratching,4,3,5,,Box,2. Box,Pos
Holliday,Scratching,4,4,5,,None,4. None,Pos
Holliday,Scratching,4,5,5,,Box,2. Box,Pos
Holliday,Scratching,4,6,5,,Box,2. Box,Pos
Honda,Brush,2,1,1,,Glove,2. Glovebrush,Neg
Honda,Brush,2,2,1,,Hair,1. Hairbrush,Neg
Honda,Brush,2,3,1,,Hair,1. Hairbrush,Neg
Honda,Brush,2,4,1,,Glove,2. Glovebrush,Neg
Honda,Brush,2,5,1,,Glove,2. Glovebrush,Neg
Honda,Brush,2,6,1,,Glove,2. Glovebrush,Neg
Honda,Laser,2,1,2,2,NA,,Neg
Honda,Laser,2,2,2,2,NA,,Neg
Honda,Laser,2,3,4,1,NA,,Neg
Honda,Laser,2,4,4,1,NA,,Neg
Honda,Laser,2,5,3,0,NA,,Neg
Honda,Laser,2,6,3,0,NA,,Neg
Honda,Ball,2,1,3,0,NA,,Neg
Honda,Ball,2,2,3,0,NA,,Neg
Honda,Ball,2,3,2,0,NA,,Neg
Honda,Ball,2,4,2,0,NA,,Neg
Honda,Ball,2,5,4,0,NA,,Neg
